english,malay,context,status
Member,Anggota,Cooperative membership,approved
Membership,Keanggotaan,Cooperative membership,approved
Share Capital,Modal Syer,Member capital,approved
Bonus Share,Syer Bonus,Member bonus share,approved
Patronage,Potongan Langganan,Member transaction return,approved
Patronage Bonus,Bonus Langganan,Member subscription bonus,approved
Dividend,Dividen,Return on share capital,approved
Contribution,Caruman,Member contribution,approved
Subscription,Langganan,Member subscription,approved
