"TargetFile","Key","SourceEnglish","ProposedMalay","Status","Note"
"lang\ms_MY\members.lang","DescADHERENT_EMAIL_TEMPLATE_EXCLUSION","Email template to use to send email to a member on member exclusion","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","DescADHERENT_EMAIL_TEMPLATE_MEMBER_VALIDATION","Email template to use to send email to a member on member validation","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","DescADHERENT_EMAIL_TEMPLATE_REMIND_EXPIRATION","Email template to use to send email reminder when contribution is about to expire","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","DescADHERENT_EMAIL_TEMPLATE_SUBSCRIPTION","Email template to use to send email to a member on new contribution recording","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","DescADHERENT_ETIQUETTE_TEXT","Text printed on member address sheets","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","DescADHERENT_ETIQUETTE_TYPE","Format of labels page","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","DescADHERENT_MAIL_FROM","Sender Email for automatic emails","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","DocForAllMembersCards","Generate business cards for all members","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","DocForLabels","Generate address sheets","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","DocForOneMemberCards","Generate business cards for a particular member","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","EmailSentToMember","Email sent to member at %s","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","EnablePublicSubscriptionForm","Enable the public website with self-subscription form","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","ErrorBadValueForDate","Bad value for date","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","ErrorMemberIsAlreadyLinkedToThisThirdParty","Another member (name: <b>%s</b>, login: <b>%s</b>) is already linked to a third party <b>%s</b>. Remove this link first because a third party can't be linked to only a member (and vice versa).","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","ErrorMembersMerge","There was an error when merging the members. Please check the log. Changes have been reverted.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","ErrorThisMemberIsNotPublic","This member is not public","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","ErrorUserPermissionAllowsToLinksToItselfOnly","For security reasons, you must be granted permissions to edit all users to be able to link a member to a user that is not yours.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","Exclude","Exclude","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","ExcludeMember","Exclude a member","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","ExportDataset_member_1","Members and contributions","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","Filehtpasswd","htpasswd file","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","FollowingLinksArePublic","The following links are open pages not protected by any Dolibarr permission. They are not formatted pages, provided as example to show how to list members database.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","ForceMemberNature","Force member nature (Individual or Legal Entity)","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","ForceMemberType","Force the member type","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","FundationMembers","Foundation members","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","HTPasswordExport","htpassword file generation","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","ImportDataset_member_1","Members","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","LastMemberDate","Latest membership date","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","LastMembersModified","Latest %s modified members","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","LastMemberType","Last Member type","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","LastSubscriptionAmount","Amount of latest membership fee","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","LastSubscriptionDate","Date of latest membership payment","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","LastSubscriptionsModified","Latest %s modified contributions","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","LatestSubscriptionDate","Latest membership date","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","LinkToGeneratedPages","Generation of business cards or address sheets","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","LinkToGeneratedPagesDesc","This screen allows you to generate PDF files with business cards for all your members or a particular member.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","ListOfSubscriptions","List of contributions","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","ListOfValidatedPublicMembers","List of validated public members","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MEMBER_NEWFORM_PAYONLINE","After the online registration, switch automatically to the online payment page","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MEMBER_SEARCH_MEMBER_PUBLIC_FORM_CREATE","Suggest to just record the subscription (without creating a new member) if an existing member is found","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MEMBER_SEARCH_MEMBER_PUBLIC_FORM_CREATEDesc","A search is done on login, company name + email (for legal entity), or full name + email (for individual). If a member is already found, the form suggest to record a renewal of subscription.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MemberCodeDesc","Member Code, unique for all members","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MemberCountersArePublic","Counters of valid members are public","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MemberFirstname","Member firstname","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MemberId","Member Id","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MemberLastname","Member lastname","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MemberMergeSuccess","Members have been merged","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MembersAndSubscriptions","Members and Contributions","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MembersByCountryDesc","This screen shows you the statistics of members by country.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MembersByCountryDesc2","Graphs and charts depend on the availability of the Google online graph service as well as on the availability of a working internet connection.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MembersByNature","This screen show you statistics of members by nature.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MembersByRegion","This screen show you statistics of members by region.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MembersByStateDesc","This screen show you statistics of members by state/provinces/canton.","","needs_translation","Direct en_US vs ms_MY gap"
